,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
10,gp:AOqpTOHdhIEdCxi4dJZsbI4GSBv4TczI4c8hom1norQHjGWkQ0fNdUs6uYRIeZZIb3BYpOtyNxDoP_cW3jb57w,Sanjeev Kumar,https://play-lh.googleusercontent.com/a-/AOh14Gg5YuOaIQBIR2jogf0ar6Z2C5ohA8GAh_Kyz_g_,Use google pay for fast pay.this phonepe app is one of the slowest app in the planet,1,0,4.1.25,2021-11-18 18:32:51,,
11,gp:AOqpTOH6ht8eE-KfjmK63Kae7CtmaZ9vXyupdirpCaidrYK4GOMWU6vT9QbneB6WlCz4RpeXyf09228v2kK2GQ,FIRE ARMY,https://play-lh.googleusercontent.com/a-/AOh14Gj9sVOFQ4YDBRfwy3GlnIq49QUBkEOOw-RMit6S,But ana open Panna mudiyala,5,0,4.1.23,2021-11-18 18:31:32,,
12,gp:AOqpTOH3gDDFmhLwIyFKEDbEzeNnL3ZlnjQPxYtu_6GR1LazwEOUpSUjZ9M4i5K6xyRCPGXIxKW5Ub-pB6Otuw,Sruthi Sreerag,https://play-lh.googleusercontent.com/a-/AOh14Ggzq9M522zuXlAAVfWv0T0kYXbqvA-vB54wwKta,Good App,5,0,4.1.25,2021-11-18 18:30:35,,
13,gp:AOqpTOGBYZAty3Cq8VK3nGbWK0kstzGymbMg-5PxbKCdV1qjoqJtWo47DhWOiA-udxM-E55nPRLRYG2D149c8w,md irfan,https://play-lh.googleusercontent.com/a-/AOh14Ggs22CSUyDn0NHC09y8o-ALjT1wrFpZXex1yDXprQ,Bast .Phonepe.,2,0,4.1.25,2021-11-18 18:30:05,,
14,gp:AOqpTOEdfevEycQ0TWDyS7DyF0X9TRHduWsF1zZyvT3F5uPEWi257TCNA7Ae3XoC6YgwguY8BUs1ScdcNOPBbA,Gaurav Dasnurkar,https://play-lh.googleusercontent.com/a-/AOh14GhVFlhpn3VT4Dr5iaHcEmmQwPr8tpXJEa1PAnM0,"I was a phonepe user from a long time, but recently they started charging 2rs extra for mobile recharge whereas other upi apps are not.. disappointed.",1,0,4.0.13,2021-11-18 18:29:51,,
15,gp:AOqpTOEECpG3Pr16JFDQxKB7ScIssGmabPnSw3uefMJhm1FNBz5XgbAfHCsV9Es7pGOApS_yz6iv8bPTazcyFg,Yousuf. Chandu,https://play-lh.googleusercontent.com/a-/AOh14GjUivdisbUbsA90lxgHViygDfgEvMb0a6QEUqL3,Osweam,5,0,,2021-11-18 18:28:34,,
16,gp:AOqpTOFZVq99XJa2Xu-y_4Sy2ErRO9-bX71EexdUTbrW_PZwKdL6VbUqIAZxRwfKyM_sf-H2pxmJgBaPRZTVsg,Fenil Soni,https://play-lh.googleusercontent.com/a/AATXAJxwlUaK0YryCKdT0UlmJxrC7LUeGq8YkDo9neUl=mo,Good,5,0,,2021-11-18 18:27:47,,
17,gp:AOqpTOGoCvQCI9UwvSPEak6S8-7Tll8gQgTrPHZVH70VKlb6AoyIzCYaOnU9KXToe0HKBCYmU2YQYwiOrmJkIA,Natanakumar Elangovan,https://play-lh.googleusercontent.com/a-/AOh14GhGDSiS_mElBqLwVbPkOrItoBiPrG0u2jn1XSFMUg,Good,5,0,4.1.25,2021-11-18 18:26:32,,
18,gp:AOqpTOGZcnU7-JwRqTezgrqqCeCDNSGnlHg8SAYjhWPxEYwDx5Qr__Ti-HQ9AM4cVP3RCKlQFB8b-0UQuH2dyg,Toni Mudhiraj,https://play-lh.googleusercontent.com/a/AATXAJwpJXWdAl9Qmu0wxEZlt-NNLApE8ntmGS76tdyq=mo,Nic,5,0,,2021-11-18 18:25:04,,
19,gp:AOqpTOGKeG8wszyQUU7x64PEn0UyDNpMNn2ldQxolawD-2GhHTTs0XnA29IpFJk9INX4MQqAJh5XsU0nmyELeQ,Yuva Raj,https://play-lh.googleusercontent.com/a-/AOh14GjRCn8OUUYW7v8WL8j_AVOqcOP3gi5Gz3xHFwds,Well Good service To pay easy mood...,5,0,4.1.25,2021-11-18 18:24:56,,
20,gp:AOqpTOHy1FsK46NQ6iuXmqeBlz8F9a8AT3GCNTYPOxbDQ7s0cBMAAfqyaZAhgU9fsflkijk8OxJuF2k1Gclw7g,shyam pawar,https://play-lh.googleusercontent.com/a/AATXAJyitQ5tduycyUOt3XZdoggDXtFjxfna5sMHYTT6=mo,Chargeble ap very bed,1,0,4.1.25,2021-11-18 18:24:22,,
21,gp:AOqpTOGKPar9XHuxN31iQ5tIzusPnTZIdkqdTuTgAdyzjErFOhxtOw5Yhl8x9DBD9vxphLIJGXUUhzpqEnbwhw,Vicky Verma,https://play-lh.googleusercontent.com/a/AATXAJzlLvTZgBTkmNoHxIXGK2_wileOwIqnYQ5l1XxA=mo,👍,5,0,,2021-11-18 18:23:20,,
22,gp:AOqpTOHYimtmsUF6AEwZgSiB3f9FjuCVFd7xB4PvgV8AGlPEYBYxDdbnHwEgV9m-X4NORWENOeiL4ZdS0c65uA,Ganga Devi,https://play-lh.googleusercontent.com/a/AATXAJyj0Ej4K2eLdfvhQLaHLBkg0EUuI1SoYUgldK0=mo,Very good,5,0,4.1.25,2021-11-18 18:22:39,,
23,gp:AOqpTOEZO6FnTJk5hEW_AeNKEgkU4kMy1X291zLEZ-12tXUuUOeox04QB0uEePyTVW2sb2_8H0OOvZ8dRM1RMw,Anoop Tiwari,https://play-lh.googleusercontent.com/a-/AOh14GiW4Uit4u4Ca2xuHpnjBnuE7Nik2BJ7fdekXhqj,Very bad it's just blackmailing people naw this app starts charging amount without reason or before information that's why I m uninstalling it,1,0,4.1.25,2021-11-18 18:22:38,,
24,gp:AOqpTOH_QDbJ21HDQz-aaur6wi3giDsNnnT8KsYAJ9KvmP3qHdiTdpzXgOOcEHkXKz0FLjaU6bCXgB-evZm2wQ,Sachin Yadav,https://play-lh.googleusercontent.com/a-/AOh14GjOacEJgk-64BT8oN-hF5DnflAQpp3aSods1GS-8Q,This is a discusting 399 recharge and 2 rupees process charges uther operator is not charging this fees why use this app????,1,0,4.1.25,2021-11-18 18:22:04,,
25,gp:AOqpTOGNnfxES9THRJexz3nGTRmO5PZXweDofEYLA7NWMAgcQ8y03GNsGlnW9QnNRaaQVS6zV0P-AR5wQ8ALHg,Arunkumar Arunkumar,https://play-lh.googleusercontent.com/a/AATXAJwUahEjzdWnkLkKheZYiOEkrMY0cD6F8gqtYfIk=mo,"Very secured App, Thanks",5,0,4.1.25,2021-11-18 18:21:27,,
26,gp:AOqpTOGUHI2r29SPU95VvN18ytHpeF0velMhe5nJ9ptL5PzqsWlL2be6X1wI-hFeAk0yR2iU4octP7SGC9UhLQ,Soul FF Army,https://play-lh.googleusercontent.com/a-/AOh14GhKszkNeowDtyi6Gpks-koHlWy3jl1WXXVAvvfq4A,I want to send a recharge plane to my brother of 598 which was writen in the plane but when I paid 700 rs recharge gone to my brother.Please fix my problem,1,0,4.1.25,2021-11-18 18:20:59,"Hi there, we understand your concern and we would want to know what went wrong, as providing the best user experience is our priority. Please share the details of the concern via our in-app support channel along with the transaction ID. We assure you that we will look into the issue on priority. ^PM
",2021-11-18 18:26:27
27,gp:AOqpTOEkgkHaOvAhzpJlpcFbw3OxYj44DKx8TQPomFmsHZx2veu3yBkcUrDEGdkviu2gajEXUp6RySpQrn1cNA,Venkatesh m,https://play-lh.googleusercontent.com/a/AATXAJwsRYRpHI45DfbYsJ7Ej0gxQSDhQyUxIrTfQ_Ox=mo,Anil kumar,5,0,,2021-11-18 18:19:29,,
28,gp:AOqpTOF2MhJhy03O5N7T60HQaWnky3UgI6Q_YjsN50qlG3-FWzi7ucAzi3_7T7lsrzpKHJjX6g3pCNGRjm6S7g,Zeenat Ansari,https://play-lh.googleusercontent.com/a/AATXAJxDPMBMCzlddc-2zQ4w94MPDCHzFXokiBghQWoE=mo,Osm,5,0,4.1.25,2021-11-18 18:18:55,,
29,gp:AOqpTOF7w9cYQGbm5YCgIMu-jxRWfHHy1TZSqUrOCSNcuz99L7kL2oOcl3sDP20Vq0rE5bxPK2BYhQ4jaCNf7A,Kalash Shamriya,https://play-lh.googleusercontent.com/a/AATXAJyNU3AEL_uPMqzy6FQOyEr0QSlib82efhtaVB0z=mo,Op,5,0,4.1.24,2021-11-18 18:18:39,,
30,gp:AOqpTOFH0dHwx3XsX9oupviRzHf71UNjL7tstiz3Oc4RaklatoAbuWz0Dz5xr9y7UIEInkSq6JnZ19PG2HyK-A,Keshab Das,https://play-lh.googleusercontent.com/a-/AOh14GinDMKv-Pm765C18SIbJp9kbU6p3oHgCFv66Unp,𝙴𝚡𝚌𝚎𝚕𝚎𝚗𝚝,1,0,4.1.25,2021-11-18 18:18:10,"Thank you for the feedback, Keshab. We are committed to providing our customers with exceptional services. Please let us know the reason behind the low rating and would also request you to share your valuable feedback here with us. Your inputs will help us to provide a better customer experience to you and all our other users in the future. ^PM

",2021-11-18 18:27:13
31,gp:AOqpTOG9byWYoHW-S1uJOR-bcL1dNjntCBkMgyaOlL6yf4b2U2ElugRHj2zWs3yC-uO6MOj8qNAMAfqnF1uLOA,Abakash Rout,https://play-lh.googleusercontent.com/a-/AOh14GjkweNZ4hIYK2RHLdwScDEAPCUqaLFXNf3E12F3Zw,Super,5,0,4.1.25,2021-11-18 18:16:21,,
32,gp:AOqpTOGDnw-nTM9qnvrb33y6SlfXI-tmd0ACkv3AXIvGm-Fm5S9Dtf4d0fd8-h-fp_7FY0e6Fgi0XIHLLarvQQ,Arpit Yadav,https://play-lh.googleusercontent.com/a-/AOh14Gi1FUAlh846C3SD3pZdU-fiGfKK8oHQy7bFMrDxEQ,Good,5,0,4.1.25,2021-11-18 18:16:14,,
33,gp:AOqpTOEprFKitELyWnABS23vPrrAr83-WyP0b2kWzmKkk2PF4gyRG5wBXeCvH3JrKwnDCYbyZXYatU6E946q6A,రవీందర్ రెడ్డి T,https://play-lh.googleusercontent.com/a-/AOh14GgmVdGVHaXvUw-C1Bn2cQBYh0ZEsKs3KLRWItExow,Good,5,0,4.1.25,2021-11-18 18:15:25,"Thank you for the feedback. We work hard to meet expectations like yours, and we're happy to hear we've managed to do so perfectly. Cheers! ∞JP
",2021-10-22 17:15:01
34,gp:AOqpTOFxSIe2XltxoUuJNknPEJVB3lg8EaH_glAbvKOYoqZYvJwkYYwBt7gWyMWoCwyxSFYHd_meZ0GCWM0JGg,sumiya anver,https://play-lh.googleusercontent.com/a/AATXAJytmxeNWRK9WtpkGAhdIFnt5iHnXuxsHojd7jpu=mo,Love it,5,0,4.1.25,2021-11-18 18:15:19,,
35,gp:AOqpTOGkFFXKrNofJ-mh5A3a9cTWNVdqP87fHchGBs1_Ar4kxuiDVbw_1yt8096NPIH_56TgX5_ud_WlNEmw_w,Jagadish M,https://play-lh.googleusercontent.com/a/AATXAJyFd01z_Yz0NIBeaaFIAHHfP1t5KeR6Nr_Jl46E=mo,Jagadish. M. Yadav,5,0,,2021-11-18 18:14:10,,
36,gp:AOqpTOFtTDXp2W90Hr0EnlQkgeUoo7xtoAboIT-gDr4Q2q9hTYlpVwPbe5YZilD9dBmPke6UHJhz3MwkrFPHmQ,Pawan Kashup,https://play-lh.googleusercontent.com/a/AATXAJzvylEfitK6YKhqnTuOjiW4jkhpeSldbnYmbb6h=mo,Nice very nice app,5,0,4.1.24,2021-11-18 18:13:58,,
37,gp:AOqpTOFRWy-oefVsLhM_nAQeYuezDkzNrFB7pK6DXOw8jDQ46tpvwsaAnypGfLve2tyiYuqtWw0fy5WIlZrDKw,Raj Esh,https://play-lh.googleusercontent.com/a-/AOh14GhwIioyrAWgjLWE_kQe9dCMxFM7-ztfujiuVG9MUA,Good,5,0,4.1.25,2021-11-18 18:13:17,"Thank you for the feedback, Raj. We're happy to know that you love our services. Keep using PhonePe. ∞PM
",2021-11-16 17:39:05
38,gp:AOqpTOGMiG1qmh-HDr7qSIQTqRnL1sJVeAUfWJpE7hpF8UsBRkHU2uNCvLoV7jUhOoX492-P7e9nC9B-1Dx0gw,JAGADISH Kalita,https://play-lh.googleusercontent.com/a/AATXAJySMFR5hQ1NQQONN49O9z9ZMHl3Rxeu3LxdVasu=mo,good NICE,4,0,4.1.25,2021-11-18 18:12:38,,
39,gp:AOqpTOHI6CDh3nH32-03X10p9eYnOZ4k4CF5syfXqJMnPKSJ3So20qJi9_RcRsQPODeJ2F3q3AaGs9uujlUd6A,vinod kumar,https://play-lh.googleusercontent.com/a-/AOh14GgE8omAukJcZJs1KzhftBGE4Gp8clNG_2w140fUFw,Best...,5,0,4.1.25,2021-11-18 18:11:53,,
40,gp:AOqpTOEEG0zWuzmo9sguTlWgAZwgjadmfRMmDNq9UR4nos4u8qRpvopy4CF_iFw_DI4lq5cqeOo0VY9KcG33Og,yogendra singh,https://play-lh.googleusercontent.com/a/AATXAJx2BEpVdP43nruWignTzC_qMfPxCdSISUE3PQvO=mo,Good,5,0,4.1.25,2021-11-18 18:11:34,,
41,gp:AOqpTOFFfpNjCafW0YjgLf-Qcq4kSuZ-LU4NvhSsbjpoxE47Ep30T_KHvok9fli9U6UcUbQ0alPjfFLGcF7xYA,sahil khan,https://play-lh.googleusercontent.com/a-/AOh14Gga4HEbz5usxCG56zcPlfdIIoi3EyEbb8O3VxHeWA,Thik h,5,0,4.1.11,2021-11-18 18:11:13,,
42,gp:AOqpTOG0bMlqZwL8lXR1g5sXMHXeuSAKjW6xkAXCiVlnGbJ1KZYk7jzkMlQY9Ago2tG4A6a08POXDAls6a1G5A,Upadhyay Ravi,https://play-lh.googleusercontent.com/a/AATXAJzZQXmow3v4IoSrEDRg21oPaNpNBDTFzti6CCBN=mo,Very good app,5,0,4.1.25,2021-11-18 18:10:28,,
43,gp:AOqpTOHEsYdlyaaOjs7NbWwQFkVoBm_7XKVJJtk8kPD9t6MmDZHLenwY2gXR5GJwZ35QdS9n0u-TibhtM1IhXw,Sk Md ali,https://play-lh.googleusercontent.com/a/AATXAJx0aMoc_h2AWfJNg0LlNa2R1StEmY2LGVal6NSV=mo,Good app,5,0,4.1.25,2021-11-18 18:10:13,,
44,gp:AOqpTOFlWM2LUVYGDfEwhQfsbPj3mDDaSNM-8zc2w2TOeJ-Nh6eFjFhM37Ut-gtsjFCrMMlZcYxg8VIRbHDd1g,Anirudda Tewary,https://play-lh.googleusercontent.com/a-/AOh14Gi5wMh9R7AuG_IseNe5ttiv0CfYn10KdDHkM6oB,Good,4,0,4.1.24,2021-11-18 18:09:28,,
45,gp:AOqpTOGNM3yX3TbSZgtyVQqealcOdlaVLnEnRUPsU6BUrMfwD-2lmXV84r-nM9tuHUMTo9b5xe1Y8CrOGQFkMg,Anuranjan Toppo,https://play-lh.googleusercontent.com/a-/AOh14GhsIQQU3zamBcrpaPaZ3EzRfxEIvBosmlJdb6IO7w,you are not giving referral amount and making fool,1,0,4.1.25,2021-11-18 18:09:18,"Hi Anuranjan, we understand your concern. The referral bonus is usually auto-credited within 24 hours if all the terms & conditions are met. Contact us via the in-app support channel with your registered mobile number and the invitee's number in order for us to get this checked. ^PM",2021-11-18 18:17:44
46,gp:AOqpTOEtH_dOBsbO0UpRb57RaF6ExjXv9kS-ycZjao-XZGOB0b1DtCcSwYs4mV47gvFoldCNCpoB2BEdQzmDgA,DMD GROUP,https://play-lh.googleusercontent.com/a-/AOh14GhQMYHxwjEywV9q8woxgu1L1HFjE2qSoxfwPqu3Dg,Hi Good,5,0,4.1.25,2021-11-18 18:08:56,,
47,gp:AOqpTOFSLDdZDwbUCbVa0O_W4o82eJ7OPGrY3vyTF2V4rsCVbbQU2XztZ3vMZWsG08I0uB0OKD8kBSgxSmH1LQ,Mohammad Irfan,https://play-lh.googleusercontent.com/a/AATXAJz4FY7HG5w-8ekd9t6HJjCg5RW6vyYHdM6fcdAO=mo,Very nice,4,0,4.1.25,2021-11-18 18:07:12,,
48,gp:AOqpTOEPGtlrQuWwjcleLm5Dy1rEgV5au_zUWBydt3C8YVnHI4k2nK2Vy7ulzIuRuK7j5lKhuk7LGfdL7MF_nw,Sahil Manhas,https://play-lh.googleusercontent.com/a/AATXAJzVVgS4Iu5KEyk7l7sTvGbSplcP7Wb1fYoV59ad=mo,Excelent,5,0,4.1.24,2021-11-18 18:07:06,,
49,gp:AOqpTOFYvL3bOtyKyzsvw1O1akw-un8WUHpoZ6aYlSH1za6JqYB1siU-jrGezlOCjnPNvWKl5nNs5_vKo36aKA,Delicious Cool drink's,https://play-lh.googleusercontent.com/a-/AOh14Ghodav9ePuySQbrYqoGb6wDWNT5FyC8Xm6J4z6D,This app is worst Invalid coupon codes,1,0,4.0.15,2021-11-18 18:04:44,,
50,gp:AOqpTOHUygvYQDLrysREEacmUSMD9px5nnxBRqiNBM2hphkkBx6RCGIS9SOU45-i5dlrOg7hoxH4LrdL8OnH9w,Suman Maurya,https://play-lh.googleusercontent.com/a/AATXAJwBckw2NkByI3YUuVas_aedQMETOeEHl8b2yEC2=mo,Beautiful,5,0,,2021-11-18 18:04:12,,
51,gp:AOqpTOFhUhUFf-ZcUs-2Z9WgN57OtDuzqTZZgy5iAw09rKP-OBRQXYj75AQhTm1_pIIxg8RKX4e2-te_CSCdow,Bablu Kumar,https://play-lh.googleusercontent.com/a/AATXAJyF5HjhvCUAIHCaVYGqKqBnttrJG_Q-xMNfKTYa=mo,Nice,3,0,,2021-11-18 18:03:48,"Thank you for the feedback, Bablu. We're delighted to receive your appreciation. We'd appreciate if you have any recommendations/suggestions to improve our services. ^PM

",2021-11-18 18:18:40
52,gp:AOqpTOF14_ttv-B_Oc_1AWt4LH1PeWAEjIl-1xAZLv_didD4gFnsubNDvN0_ic45ZnlZwkKPiuaRkXtBjAT97w,Rev J David Raj,https://play-lh.googleusercontent.com/a/AATXAJzvI6dbpjrrnwJAChhKg1asvLyohRfFlnfDw72a=mo,Worst app,1,0,,2021-11-18 18:02:20,"Hi David, it appears you've had an unpleasant experience. We'd like to know what went wrong and fix the issue. We recommend that you raise a concern via our in-app support channel. ^PM",2021-11-18 18:19:04
53,gp:AOqpTOEq8dcmqQQAqeWkpTFuSU5JctqTy5HysBdL6ii-a_VS1H6V1BnVc9c3Ahv7IEk-fMuJkbFov4ct8Qn90A,CHINTHAKAYALA RAMBABU,https://play-lh.googleusercontent.com/a/AATXAJwbmyaFK2HPS7F2ZfuyqG6I8h88Nx442kuo5Lk=mo,"Every time transaction is failure Very bad not supporting this emergency needs money, Scanning also failure",1,0,4.1.25,2021-11-18 18:02:13,"Hi Rambabu, we understand your concern and we would want to know what went wrong, as providing the best user experience is our priority. Please share the details of the concern via our in-app support channel along with the transaction ID. We assure you that we will look into the issue on priority. ^PM
",2021-11-18 18:19:38
54,gp:AOqpTOFZNRuUDGAo2UigeB-bgFZWozhGQZFCignfoxYDJWbRxJzsEqcNsrXGriiVohQTJNVzPtLL3S3u3vqnVw,Suresh Thukaram,https://play-lh.googleusercontent.com/a-/AOh14GiMPotivJDa_JhyTKoBnpEEZWi1z3sml-EP_zs6-A,When Gpay fails phonepay makes it with EASE,5,0,4.1.25,2021-11-18 18:01:34,,
55,gp:AOqpTOGLkvQ5h44v2A1R3zKiBqYkD0jXgR9_sYKtpHQePoMu4JsKsl3PrZbpaj8TJCCE6lzR2FvRubcX06ndaw,Prashant Singh,https://play-lh.googleusercontent.com/a-/AOh14GixEUOlhBm-YE2CjopWVAKmY0ZJduifR3ljARDY,Very good app,5,0,4.1.25,2021-11-18 18:01:34,,
56,gp:AOqpTOHVKJo4rDcK5O_HFNRWA4NOYqQ8J6AP9F-mWLlqdQqX1ftsYs2IKzzZox5EBsgz09TsbuOVIvfC1XgtNg,rahul kumar singh,https://play-lh.googleusercontent.com/a-/AOh14GjcWPkIham748kcanwO5Pkq2K2a8pFbuFi75RJM,Superb,5,0,4.1.25,2021-11-18 18:01:13,,
57,gp:AOqpTOGsRXIZGzCWGuGER7-XD9jJiH_4loTv8p3HxmMzLOq15CZzX6CSBDlpVXJrkMBhoGRa_crhUoCfnglRUQ,Suraksha Naik,https://play-lh.googleusercontent.com/a-/AOh14Ggy5s4BQqoR8mZSWu4yurTsj_abxMLH_arQujUqVg,Easy to use .,5,0,4.1.24,2021-11-18 18:00:36,,
58,gp:AOqpTOG9h4xJ1ok7cw3s2hiDrgGbdyWwABmF8kYlqpPX9NIz72eFVoLAkeTGaB1l5VBrF96QAvlyXcOZoPSaxA,Akash Pawar,https://play-lh.googleusercontent.com/a/AATXAJw0H6EzSRAppc83mvQfL21Zq08lbY_WMfzb3MUc=mo,Nice,5,0,,2021-11-18 17:59:44,,
59,gp:AOqpTOEMaGMm31fbjqCi74KoZZwaR82-WqqsNOq1n4KDkCZdv7AsubHmwMewuAWKqlnlMkMeklXuWkBOVYTyFA,Gattukindi Venkati,https://play-lh.googleusercontent.com/a-/AOh14GjFcPYlNculbftm3Yx0VprzO8nH_dm5S1ezVAeWNw,Good,4,0,4.1.25,2021-11-18 17:58:46,,
60,gp:AOqpTOHJIlug0pdIF26cAitM1k4cD04FQQ9y3dJrJ4mcSBa2SXsySNd9B6hEYCa5oNy314NJDFg_Dss-Q1V0sg,Amit Maurya,https://play-lh.googleusercontent.com/a/AATXAJx4nXUEhWNmBwiT1sHqsf6zdM0WSHL5mqEAd3mj=mo,I love you phonepe,5,0,4.1.25,2021-11-18 17:57:38,,
61,gp:AOqpTOGQGLsnxlTtx6Bsfkqd10Z50QTNYCD6ZQBUceoOuOWea1LqdhM6cwEYpYuNOfVDfi24xaVv_OzWUCawqw,Baijnath Kumar,https://play-lh.googleusercontent.com/a-/AOh14GjEzEtM7Uiu0UhuC9x3XzFiCUAhVi6vXDzu2yhcqg,Good,5,0,4.1.25,2021-11-18 17:57:36,,
62,gp:AOqpTOEplI59WpJWjE7Pds2RXs7YLskl7Ni7uX_F84HbaDwCg9T7veFpfIaP3AosdAuMvEm-w7x8htQiMBN5Yg,Official rajput girl,https://play-lh.googleusercontent.com/a-/AOh14GhP-mDFbXI1R0XUaWNAEDE92ZXuwWSBKMDeYyHu,Best aap,5,0,4.1.25,2021-11-18 17:56:55,,
63,gp:AOqpTOEgbNc1pnyQID2DRIARoF9DrqeM-0b59sPWa9xSMlJogRCztiDBSKE_rotjTe4rzanXPBtbqzCKoFEc-g,Lucky Kanwar,https://play-lh.googleusercontent.com/a/AATXAJy3eTu8xZ1OUJshGaau-VlmlJPKdll0nZAjb75d=mo,Good application,4,0,4.1.25,2021-11-18 17:56:18,,
64,gp:AOqpTOH6jH9V1dqIXRWaGHAMBnR3GmurURCYLv6pxDNWIzfwfYw4BQoqJYtWyuoxSZxRjb3B-DbPe0DYuqF5cA,NXT GAMER,https://play-lh.googleusercontent.com/a-/AOh14GgQw53GvCKnel_vUjhL0sI042NTM2Bv2FDseAl_,Good,5,0,4.1.25,2021-11-18 17:55:52,,
65,gp:AOqpTOGDARlm4UhKioUEudgUDWT0hM5211PpIeK-vzWamz2IcsIbVT6GF4vlxnVGo1nBY-jRP7YMqwHsDl3EEg,SANDEEP S,https://play-lh.googleusercontent.com/a-/AOh14GhLBdhSkQVCxHlDAx1ooKe7YQNH9nQUrYnxSBX8Mw,Add BBMP PROPERTY TAX PAYMENT OPTION AND BANGALORE TRAFFIC FINES OPTION..,3,0,4.1.25,2021-11-18 17:55:40,"Hi Sandeep, we completely understand your requirements & our team is working to add more billers and service providers which will support your needs. Please contact us via our in-app for any further queries, complaints, or feedback. ^PM",2021-11-18 17:59:13
